id,Start Time,End Time,Notes,Approximate Duration (Minutes)
414,2:55AM 04-01-2020,5:45AM 04-01-2020,,170
415,6:30AM 04-01-2020,7:20AM 04-01-2020,,50
416,9:28AM 04-01-2020,10:20AM 04-01-2020,,52
417,12:15PM 04-01-2020,12:49PM 04-01-2020,,35
418,3:15PM 04-01-2020,5:03PM 04-01-2020,,108
419,8:35PM 04-01-2020,11:25PM 04-01-2020,,170
420,11:50PM 04-01-2020,1:10AM 04-02-2020,,80
421,2:20AM 04-02-2020,4:40AM 04-02-2020,,140
422,5:35AM 04-02-2020,6:35AM 04-02-2020,,60
423,8:45AM 04-02-2020,9:28AM 04-02-2020,,43
424,11:27AM 04-02-2020,12:11PM 04-02-2020,,44
425,1:00PM 04-02-2020,3:05PM 04-02-2020,,125
426,4:55PM 04-02-2020,5:25PM 04-02-2020,,30
427,8:25PM 04-02-2020,9:35PM 04-02-2020,,70
428,10:20PM 04-02-2020,12:10AM 04-03-2020,,110
429,12:50AM 04-03-2020,1:40AM 04-03-2020,,50
430,2:00AM 04-03-2020,3:00AM 04-03-2020,,60
431,3:55AM 04-03-2020,6:38AM 04-03-2020,,162
432,9:00AM 04-03-2020,10:25AM 04-03-2020,,85
433,6:45PM 04-03-2020,7:30PM 04-03-2020,,45
434,9:40PM 04-03-2020,3:00AM 04-04-2020,,320
435,3:40AM 04-04-2020,6:50AM 04-04-2020,,190
436,9:30AM 04-04-2020,10:00AM 04-04-2020,,30
437,10:40AM 04-04-2020,11:31AM 04-04-2020,,51
438,1:15PM 04-04-2020,2:37PM 04-04-2020,,81
439,4:10PM 04-04-2020,4:39PM 04-04-2020,,28
440,6:20PM 04-04-2020,7:14PM 04-04-2020,,54
441,9:25PM 04-04-2020,3:55AM 04-05-2020,,390
442,4:30AM 04-05-2020,5:20AM 04-05-2020,,50
443,6:29AM 04-05-2020,7:00AM 04-05-2020,,31
444,9:03AM 04-05-2020,10:36AM 04-05-2020,,93
445,12:00PM 04-05-2020,12:40PM 04-05-2020,,40
446,3:00PM 04-05-2020,3:20PM 04-05-2020,,20
447,4:55PM 04-05-2020,5:27PM 04-05-2020,,32
449,9:15PM 04-05-2020,5:40AM 04-06-2020,,505
450,6:45AM 04-06-2020,7:18AM 04-06-2020,,33
451,9:15AM 04-06-2020,10:05AM 04-06-2020,,49
452,11:50AM 04-06-2020,1:23PM 04-06-2020,,93
453,3:05PM 04-06-2020,3:43PM 04-06-2020,,38
454,5:05PM 04-06-2020,6:06PM 04-06-2020,,61
